"Year"	"Stand"	"Treatment"	"Plot"	"PlotID"	"Litterfall_LAI"	"SE"	"SE%"
2010.00	"Thinning"	"LD"	"C7"	108.00	2.30	0.24	10.77
2010.00	"Thinning"	"NoThin"	"B2"	85.00	3.24	0.24	7.44
2010.00	"Thinning"	"NoThin"	"B3"	86.00	3.29	0.25	7.64
2010.00	"Thinning"	"NoThin"	"B4"	87.00	3.11	0.27	8.68
2010.00	"Thinning"	"NoThin"	"B7"	90.00	3.16	0.03	1.07
2010.00	"Thinning"	"NoThin"	"B8"	91.00	3.38	0.19	5.62
2010.00	"Thinning"	"NoThin"	"B9"	92.00	3.13	0.11	3.64
2010.00	"Thinning"	"NoThin"	"HD1"	3.00	2.64	0.17	6.72
2010.00	"Thinning"	"NoThin"	"HD2"	4.00	3.36	0.17	5.31
2010.00	"Thinning"	"NoThin"	"HD3"	5.00	3.15	0.03	1.09
2011.00	"1970"	"LD"	"LD"	27.00	2.39	0.30	12.64
2011.00	"1970"	"NoThin"	"1970"	23.00	4.88	0.33	6.80
2011.00	"1990"	"NoThin"	"13A"	22.00	5.59		
2011.00	"1990"	"NoThin"	"1D"	21.00	7.29		
2011.00	"1990"	"NoThin"	"2-18AAA"	18.00	6.45		
2011.00	"1990"	"NoThin"	"3-12B"	19.00	6.69		
2011.00	"1990"	"NoThin"	"4-7F"	20.00	7.40		
2011.00	"1990"	"NoThin"	"Orig 1"	17.00	5.48		
2011.00	"Mature Monoculture"	"NoThin"	"MM"	9.00	4.62	0.22	4.83
2011.00	"Nutting Preserve"	"NoThin"	"Nutting"	33.00	4.06	0.38	9.43
2011.00	"Spacing"	"PCT"	"2x2"	6.00	5.82	0.37	6.37
2011.00	"Spacing"	"PCT"	"2x2 New"	7.00	5.57	0.12	2.23
2011.00	"Spacing"	"PCT"	"3x3"	8.00	6.44	0.22	3.53
2011.00	"Split"	"NoThin"	"Blue-Spring"	14.00	4.07	0.24	5.92
2011.00	"Thinning"	"B"	"A6"	98.00	3.59	0.41	11.57
2011.00	"Thinning"	"B"	"A7"	99.00	3.87	0.34	8.98
2011.00	"Thinning"	"B"	"A8"	100.00	4.19	0.15	3.80
2011.00	"Thinning"	"B"	"C2"	103.00	3.35	0.31	9.24
2011.00	"Thinning"	"LD"	"A9"	101.00	3.15	0.18	6.02
2011.00	"Thinning"	"LD"	"C1"	102.00	3.48	0.37	10.70
2011.00	"Thinning"	"LD"	"C3"	104.00	3.36	0.31	9.43
2011.00	"Thinning"	"LD"	"C7"	108.00	3.00	0.42	14.28
2011.00	"Thinning"	"NoThin"	"B2"	85.00	4.36	0.29	6.69
2011.00	"Thinning"	"NoThin"	"B3"	86.00	3.94	0.34	8.62
2011.00	"Thinning"	"NoThin"	"B4"	87.00	4.31	0.49	11.38
2011.00	"Thinning"	"NoThin"	"B7"	90.00	4.25	0.15	3.66
2011.00	"Thinning"	"NoThin"	"B8"	91.00	4.30	0.20	4.72
2011.00	"Thinning"	"NoThin"	"B9"	92.00	4.06	0.13	3.24
2011.00	"Thinning"	"NoThin"	"HD1"	3.00	3.94	0.14	3.55
2011.00	"Thinning"	"NoThin"	"HD2"	4.00	4.67	0.19	4.12
2011.00	"Thinning"	"NoThin"	"HD3"	5.00	3.80	0.19	5.25
